Stage Name Stage Name,Full Name Full Name,Korean Name Korean Name,K. Stage Name K. Stage Name,Date of Birth Date of Birth,Group Group,Country Country,Height Height,Weight Weight,Birthplace Birthplace,Gender Gender,Instagram Instagram
Jonghyun,Lee Jonghyun,이종현,종현,5/15/1990,CNBLUE,South Korea,0,0,Busan,M,
Minhyuk,Kang Minhyuk,강민혁,민혁,6/28/1991,CNBLUE,South Korea,0,0,Ilsan,M,
Jungshin,Lee Jungshin,이정신,정신,9/15/1991,CNBLUE,South Korea,0,0,,M,
Jonghoon,Choi Jonghoon,최종훈,종훈,3/7/1990,FTISLAND,South Korea,0,0,Seoul,M,
Honggi,Lee Honggi,이홍기,홍기,3/2/1990,FTISLAND,South Korea,0,0,Gwangju,M,
Jaejin,Lee Jaejin,이재진,재진,12/17/1991,FTISLAND,South Korea,0,0,Cheongju,M,
Seunghyun,Song Seungyun,송승현,승현,8/21/1992,FTISLAND,South Korea,0,0,Seoul,M,
Minhwan,Choi Minhwan,최민환,민환,11/11/1992,FTISLAND,South Korea,0,0,Seoul,M,
Kwangjin,Kwon Kwangjin,권광진,광진,8/12/1992,N.Flying,South Korea,0,0,Seoul,M,
Seunghyub,Lee Seunghyub,이승협,승협,10/31/1992,N.Flying,South Korea,0,0,Daegu,M,
Cha Hoon,Cha Hoon,차훈,차훈,7/12/1994,N.Flying,South Korea,0,0,Seoul,M,
Jaehyun,Kim Jaehyun,김재현,재현,7/15/1994,N.Flying,South Korea,0,0,Seoul,M,
Inseong,Kim Inseong,김인성,인성,7/12/1993,SF9,South Korea,0,0,,M,
Youngbin,Kim Youngbin,김영빈,영빈,11/23/1993,SF9,South Korea,0,0,,M,
Jaeyoon,Lee Jaeyoon,이재윤,재윤,8/9/1994,SF9,South Korea,0,0,,M,
Dawon,Lee Sanghyuk,이상혁,다원,7/24/1995,SF9,South Korea,0,0,,M,
Zuho,Bae Juho,백주호,주호,7/4/1996,SF9,South Korea,0,0,,M,
Rowoon,Kim Seokwoo,김석우,로운,8/7/1996,SF9,South Korea,0,0,,M,
Taeyang,Yoo Taeyang,유태양,태양,2/28/1997,SF9,South Korea,0,0,,M,
Hwiyoung,Kim Youngkyun,김영균,휘영,5/11/1999,SF9,South Korea,0,0,,M,
Chani,Kang Chanhee,강찬희,찬희,1/17/2000,SF9,South Korea,0,0,,M,
Johyun,Shin Jiwon,신지원,조현,4/14/1996,Berry Good,South Korea,0,0,,F,
Serri,Park Miyeon,박미연,세리,9/16/1990,Dal Shabet,South Korea,0,0,Seoul,F,
Ahyoung,Cho Jayoung,조자영,아영,5/26/1991,Dal Shabet,South Korea,0,0,Seoul,F,
Woohee,Bae Woohee,배우희,우희,11/21/1991,Dal Shabet,South Korea,0,0,Busan,F,
Subin,Park Subin,박수빈,수빈,2/12/1994,Dal Shabet,South Korea,0,0,Gwangju,F,
Jiyul,Yang Jungyoon,양정윤,지율,7/30/1991,,South Korea,0,0,Seoul,F,
Gaeun,Cho Kaeun,조가은,가은,7/28/1992,,South Korea,0,0,Changwon,F,
Viki,Kang Eunhye,강은혜,비키,3/28/1988,,South Korea,0,0,Seoul,F,
Haeri,Lee Haeri,이해리,해리,2/14/1985,Davichi,South Korea,0,0,Seoul,F,
Minkyung,Kang Minkyung,강민경,민경,8/3/1990,Davichi,South Korea,0,0,Goyang,F,
Sulli†,Choi Jinri,최진리,설리,3/29/1994,,South Korea,0,0,Busan,F,
Ashley,Ashley Choi,애슐리 최,애슐리,11/9/1991,Ladies' Code,South Korea,0,0,Incheon,F,
Sojung,Lee Sojung,이소정,소정,9/3/1993,Ladies' Code,South Korea,0,0,Wonju,F,
Zuny,Kim Joomi,김주미,주니,12/8/1994,Ladies' Code,South Korea,0,0,Gwangju,F,
Yunji,Lee Yunji,이윤지,윤지,4/4/1992,Playback,South Korea,0,0,,F,
Hayoung,Lee Hayoung,이하영,하영,8/3/1993,Playback,South Korea,0,0,,F,
Yujin,Seo Yoojin,소유진,유진,6/18/1994,Playback,South Korea,0,0,,F,
Woolim,Hwang Woolim,황우림,우림,8/29/1996,Playback,South Korea,0,0,,F,
Red,Lee Heejin,이희진,빨강,7/10/1991,Pungdeng-E,South Korea,163,0,Daegu,F,
Yellow,Kim Eunbi,김은비,노랑,5/5/1993,Pungdeng-E,South Korea,156,0,Seoul,F,
Blue,Jung Gahee,정가희,파랑,1/18/1994,Pungdeng-E,South Korea,161,0,Gwangju,F,
Jaekyung,Kim Jaekyung,김재경,재경,12/24/1988,Rainbow,South Korea,168,45,Seoul,F,
Woori,Go Woori,고우리,우리,2/22/1988,Rainbow,South Korea,165,44,Jeonju,F,
Seungah,Oh Seungah,오승아,승아,9/13/1988,Rainbow,South Korea,167,45,Seoul,F,
Noeul,No Eul,노을,노을,5/10/1989,Rainbow,South Korea,164,44,Jeonju,F,
Yoonhye,Jung Yoonhye,정윤혜,윤혜,4/14/1990,Rainbow,South Korea,166,47,Daejeon,F,
Jisook,Kim Jisook,김지숙,지숙,7/18/1990,Rainbow,South Korea,164,41,Suwon,F,
Hyunyoung,Cho Hyunyoung,조현영,현영,8/11/1991,Rainbow,South Korea,160,41,Seoul,F,
J-Hoon,Lim Junghoon,임정훈,제이훈,7/15/1990,B.I.G,South Korea,172,62,Seoul,M,
Benji,Baek Jaewook,배제욱,벤지,5/3/1992,B.I.G,USA,183,72,Indianapolis,M,
Gunmin,Lee Gunmin,이건민,건민,10/3/1994,B.I.G,South Korea,177,64,Gangwon,M,
Minpyo,Gook Minpyo,국민표,민표,11/15/1994,B.I.G,South Korea,173,57,Gwangju,M,
Heedo,Yoon Heedo,유희도,희도,4/22/1996,B.I.G,South Korea,180,60,Seoul,M,
Vivi,Wong Viian,황가희,비비,12/9/1996,LOONA,Hong Kong,0,0,Hong Kong,F,
Minjae,Shin Minjae,신민재,민재,8/13/1991,Tahiti,South Korea,0,0,Busan,F,
Miso,Park Miso,박미소,미소,4/4/1991,Tahiti,South Korea,0,0,Gwangju,F,
Jerrry,Ahn Sohyun,안소현,제리,8/27/1992,Tahiti,South Korea,0,0,Seoul,F,
Jisoo,Shin Jisoo,신지수,지수,2/28/1994,Tahiti,South Korea,0,0,Chuncheon,F,
Ari,Kim Sunyoung,김선영,아리,10/23/1994,Tahiti,South Korea,0,0,Daegu,F,
Sihyun,Park Sihyun,박시현,시현,11/29/1986,SPICA,South Korea,0,0,,F,
Boa,Kim Boah,김보아,보아,1/14/1987,KEEMBO,South Korea,0,0,,F,
Narae,Park Narae,박나래,나래,2/23/1988,SPICA,South Korea,0,0,Incheon,F,
Jiwon,Yang Jiwon,양지원,지원,4/5/1988,UNI.T,South Korea,0,0,Seoul,F,
Bohyung,Kim Bohyung,김보형,보형,3/31/1991,KEEMBO,South Korea,0,0,,F,
Gayoung,Kim Gayoung,김가영,가영,12/2/1991,Stellar,South Korea,0,0,Seoul,F,
Minhee,Joo Minhee,주민희,민희,1/3/1993,Stellar,South Korea,0,0,Seoul,F,
Hyeoeun,Lee Hyoeun,이효은,효은,3/16/1993,Stellar,South Korea,0,0,Seoul,F,
Jeonyul,Jeon Yuri,전유리,전율,3/20/1994,Stellar,South Korea,0,0,Seoul,F,
Jiyou,Im Changsook,임창숙,지유,6/15/1989,Two X,South Korea,0,0,,F,
Eun,Choi Eunmi,최은미,은,5/14/1990,Two X,South Korea,0,0,,F,
Surin,Kim Surin,김수린,수린,12/27/1991,Two X,South Korea,0,0,,F,
Eunyoung,Joo Eunyoung,주은영,은영,6/12/1992,Two X,South Korea,0,0,,F,
Nari,Kim Nari,김나리,나리,10/5/1992,Wassup,South Korea,0,0,,F,
Jiae,Kim Jiae,김지애,지애,10/31/1995,Wassup,South Korea,0,0,,F,
Sujin,Bang Sujin,방수진,수진,6/26/1996,Wassup,South Korea,0,0,,F,
Woojoo,Kim Woojoo,김우주,우주,8/12/1996,Wassup,South Korea,0,0,,F,
Jinju,Park Jinju,박진주,진주,4/28/1990,,South Korea,0,0,,F,
Dain,Song Jieun,송지은,다인,6/25/1990,,South Korea,0,0,,F,
Nada,Yoon Yejin,윤예진,나다,5/24/1991,,South Korea,0,0,,F,
Minwoo†,Seo Minwoo,서민우,민우,2/8/1985,100%,South Korea,0,0,Daegu,M,
Rokhyun,Kim Rokhyun,김록현,록현,2/10/1991,100%,South Korea,0,0,Suncheon,M,
Jonghwan,Jo Jonghwan,조종환,종환,11/23/1992,100%,South Korea,0,0,Seoul,M,
Chanyong,Kim Chanyong,김찬용,찬용,4/29/1993,100%,South Korea,0,0,Suwon,M,
Hyukjin,Jang Hyukjin,장혁진,혁진,12/20/1993,100%,South Korea,0,0,Busan,M,
Sanghoon,Lee Sanghoon,이상훈,상훈,12/23/1993,,South Korea,0,0,Cheongju,M,
Changbum,Woo Changbum,우창범,창범,10/7/1993,,South Korea,0,0,Sokcho,M,
Cory,Hong Joohyung,홍주현,코리,11/25/1990,24K,South Korea,175,58,Daegu,M,
Sungoh,Yoo Sungoh,유성오,성오,1/8/1991,,South Korea,0,0,,M,
Kisu,Choi Kisu,최기수,기수,10/2/1990,24K,South Korea,179,60,Seoul,M,
Daeil,Kim Daeil,김대일,대일,5/10/1992,,South Korea,0,0,Busan,M,
Jeonguk,Kim Jeonguk,김정욱,정욱,3/20/1993,24K,South Korea,178,58,Busan,M,
Hui,Liang Hui,양휘,양휘,7/18/1995,24K,China,178,58,,M,
Changsun,Lee Changsun,이창선,창선,3/17/1996,24K,South Korea,179,58,,M,
Jinhong,Kim Jinhong,김진홍,진홍,1/2/1998,24K,South Korea,180,53,Seoul,M,
Hongseob,Shim Hongseob,심홍섭,홍섭,1/8/1998,24K,South Korea,177,58,,M,
Onejunn,Jo Wonjun,조원준,원준,11/22/1988,Boys Republic,South Korea,179,61,Changwon,M,
Sunwoo,Choi Sunwoo,최선우,선우,3/12/1992,Boys Republic,South Korea,183,65,Seoul,M,
Sungjun,Park Sungjun,박성준,성준,12/17/1992,Boys Republic,South Korea,175,55,Ansan,M,
Minsu,Park Minsu,김민수,민수,4/15/1993,Boys Republic,South Korea,172,55,Gwangju,M,
Suwoong,Lee Suwoong,이수웅,수웅,1/20/1995,Boys Republic,South Korea,174,56,,M,
JB,Im Jaebum,임재범,제이비,1/6/1994,GOT7,South Korea,179,63,Goyang,M,
Mark,Mark Yien Tuan,마크 이엔 투안,마크,9/4/1993,GOT7,USA,175,59,Los Angeles,M,
Jackson,Jackson Wang,잭슨 왕,잭슨,3/28/1994,GOT7,Hong Kong,174,63,Hong Kong,M,
Jinyoung,Park Jinyoung,박진영,진영,9/22/1994,GOT7,South Korea,178,63,Changwon,M,
Youngjae,Choi Youngjae,최영재,영재,9/17/1996,GOT7,South Korea,175,59,Mokpo,M,
BamBam,Kunpimook Bhuwakul,꾼삐묵 부와꾼,뱀뱀,5/2/1997,GOT7,Thailand,170,52,Bangkok,M,
Yugyeom,Kim Yugyeom,김유겸,유겸,11/17/1997,GOT7,South Korea,180,64,Namyangju,M,
Aron,Kwak Youngmin,곽영민,아론,5/21/1993,NU'EST,South Korea,0,0,California,M,
JR,Kim Jonghyun,김종현,제이알,6/8/1995,NU'EST,South Korea,0,0,Gangwon,M,
Baekho,Kang Dongho,강동호,백호,7/21/1995,NU'EST,South Korea,0,0,Jeju,M,
Minhyun,Hwang Minhyun,황민현,민현,8/9/1995,NU'EST,South Korea,0,0,Busan,M,
Ren,Choi Minki,최민기,렌,11/3/1995,NU'EST,South Korea,0,0,Busan,M,
Junhyuk,Choi Junhyuk,최준혁,준혁,4/21/1992,HOTSHOT,South Korea,0,0,Ulsan,M,
Timoteo,Kim Moongyu,김문규,티모테오,1/25/1993,HOTSHOT,South Korea,0,0,,M,
Taehyun,Noh Taehyun,노태현,태현,10/15/1993,HOTSHOT,South Korea,0,0,Seoul,M,
Sungwoon,Ha Sungwoon,하성운,성운,3/22/1994,Wanna One,South Korea,0,0,Goyang,M,
Yoonsan,Yoon Sanghyuk,윤상혁,윤산,8/22/1994,HOTSHOT,South Korea,0,0,,M,
Hojung,Go Hojung,고호정,호정,10/20/1994,HOTSHOT,South Korea,0,0,,M,
Jisung,Yoon Jisung,윤지성,지성,3/8/1991,Wanna One,South Korea,0,0,Wonju,M,
Seongwu,Ong Seunwu,옹성우,성우,8/25/1995,Wanna One,South Korea,0,0,Incheon,M,
Jaehwan,Kim Jaehwan,김재환,재환,5/27/1996,Wanna One,South Korea,0,0,Seoul,M,
Daniel,Kang Daniel,강다니엘,다니엘,12/10/1996,Wanna One,South Korea,0,0,Busan,M,
Jihoon,Park Jihoon,박지훈,지훈,5/29/1999,Wanna One,South Korea,0,0,Masan,M,
Woojin,Park Woojin,박우진,우진,11/2/1999,AB6IX,South Korea,0,0,Busan,M,
Jinyoung,Bae Jinyoung,배진영,진영,5/10/2000,CIX,South Korea,0,0,Seoul,M,
Daehwi,Lee Daehwi,이대휘,대휘,1/29/2001,AB6IX,South Korea,0,0,Seoul,M,
Lai Kuanlin,Lai Kuanlin,라이관린,라이관린,9/23/2001,Wanna One,Taiwan,0,0,New Taipei,M,
Jueun,Lee Jooeun,이주은,주은,7/7/1995,DIA,South Korea,0,0,Suwon,F,
Somyi,Ahn Somyi,안솜이,솜이,1/26/2000,DIA,South Korea,0,0,Changwon,F,
Daisy,Yoo Jeongahn,유정안,데이지,1/22/1999,,South Korea,0,0,Seoul,F,
Taeha,Kim Taeha,김태하,태하,6/3/1998,,South Korea,0,0,Jeonju,F,
Hyojin,Kim Hyojin,김효진,효진,4/22/1994,ONF,South Korea,0,0,Seoul,M,
E-tion,Lee Changyoon,이창윤,이션,12/24/1994,ONF,South Korea,0,0,Jeonju,M,
J-Us,Lee Seungjoon,이승준,제이어스,1/13/1995,ONF,South Korea,0,0,Seoul,M,
Wyatt,Shim Jaeyoung,심재영,와이엇,1/23/1995,ONF,South Korea,0,0,Seoul,M,
MK,Park Minkyun,박민균,엠케이,11/16/1995,ONF,South Korea,0,0,Ilsan,M,
U,Mizuguchi Yuto,미즈구치 유토,유,3/16/1999,ONF,Japan,0,0,Osaka,M,
Laun,Kim Minseok,김민석,라운,8/12/1999,,South Korea,0,0,Seongsan,M,
Donghun,Lee Donghun,이동훈,동훈,5/15/1993,A.C.E,South Korea,0,0,Suncheon,M,
Wow,Kim Seyoon,김세윤,와우,2/28/1993,A.C.E,South Korea,0,0,Gyeonggi,M,
Jun,Park Junhee,박준희,준,6/2/1994,A.C.E,South Korea,0,0,Jeolla,M,
Jason,Kim Byeongkwan,김병관,제이슨,8/13/1996,A.C.E,South Korea,0,0,Seoul,M,
Chan,Kang Yoochan,강유찬,찬,12/31/1997,A.C.E,South Korea,0,0,Jeju,M,
Suyeon,Ji Suyeon,지수연,수연,4/20/1997,Weki Meki,South Korea,0,0,,F,
Elly,Jung Haerim,정해림,엘리,7/20/1998,Weki Meki,South Korea,0,0,,F,
Sei,Lee Seojung,이서정,세이,1/7/2000,Weki Meki,South Korea,0,0,,F,
Lua,Kim Sookyung,김수경,루아,10/6/2000,Weki Meki,South Korea,0,0,,F,
Rina,Kang Soeun,강소은,리나,9/27/2001,Weki Meki,South Korea,0,0,,F,
Lucy,Noh Hyojung,노효정,루시,8/31/2002,Weki Meki,South Korea,0,0,Goyang,F,
Hweseung,Yoo Hweseung,유회승,회승,2/28/1995,N.Flying,South Korea,0,0,,M,
Kim Lip,Kim Jungeun,김정은,김립,2/10/1999,LOONA,South Korea,0,0,,F,
JinSoul,Jung Jinsol,정진솔,진솔,6/13/1997,LOONA,South Korea,0,0,,F,
Choerry,Choi Yerim,최예림,최리,6/4/2001,LOONA,South Korea,0,0,,F,
Do-A,Choi Yuna,최윤아,도아,2/2/1999,ALICE,South Korea,0,0,,F,
Yeonje,Yang Yeonje,양연제,혜성,10/15/1999,ALICE,South Korea,0,0,,F,
Yukyung,Lee Yukyung,이유경,유경,11/5/1999,ALICE,South Korea,0,0,,F,
Sohee,Kim Sohee,김소희,소희,12/31/1999,ALICE,South Korea,0,0,,F,
Karin,Min Karin,민가린,가린,1/5/2002,ALICE,South Korea,0,0,,F,
Rui,Watanabe Rui,와타나베 루이,루이,10/8/1994,H.U.B,Japan,0,0,,F,
Gracie,Kim Gaeun,김가운,그레이시,10/28/1996,H.U.B,South Korea,0,0,,F,i.m_gracie
Yuem,Park Subin,박수빈,유음,12/25/1996,H.U.B,South Korea,0,0,,F,
Hyosun,Lim Hyosun,임효선,효선,7/10/1998,H.U.B,South Korea,170,54,,F,
Keina,Lee Yoona,이유나,케이나,2/12/1999,H.U.B,South Korea,0,0,,F,
Hyunseo,Go Hyunseo,고현서,현서,6/17/1999,,South Korea,0,0,,F,
Shinyoung,Park Shinyoung,박신영,신영,3/19/2000,G-reyish,South Korea,0,0,,F,
Yena,Jeong Yena,정예나,예나,4/10/2000,G-reyish,South Korea,0,0,,F,
Yeso,Lee Yeso,이예소,예소,11/13/2001,G-reyish,South Korea,0,0,,F,
Haeri,Jung Haeri,정해리,해리,1/14/1997,P.O.P,South Korea,0,0,Seoul,F,
Ahyung,Kang Ahyoung,강아형,아형,8/27/1996,P.O.P,South Korea,0,0,Pohang,F,
Miso,Park Jihyun,박지현,미소,9/16/1996,P.O.P,South Korea,0,0,Busan,F,
Seol,Min Jihye,민지혜,설,1/1/1997,P.O.P,South Korea,0,0,Gunsan,F,
Yeonjoo,Song Yeonjoo,정연주,연주,6/26/1997,P.O.P,South Korea,0,0,Ansan,F,
Yeonha,Ahn Yeonji,안연지,연하,5/19/2000,P.O.P,South Korea,0,0,Yeondong,F,
Daeyeol,Lee Daeyeol,이대열,대열,2/11/1993,Golden Child,South Korea,0,0,Yongin,M,
Y,Choi Sungyoon,최성윤,와이,7/31/1995,Golden Child,South Korea,0,0,,M,
Jaeseok,Park Jaeseok,박재석,재석,11/20/1995,,South Korea,0,0,,M,
Jangjun,Lee Jangjun,이장준,장준,3/3/1997,Golden Child,South Korea,0,0,,M,
TAG,Son Youngtaek,손영택,태그,4/13/1998,Golden Child,South Korea,0,0,,M,
Seungmin,Bae Seungmin,배승민,승민,10/13/1998,Golden Child,South Korea,0,0,,M,
Jaehyun,Bong Jaehyun,봉재현,재현,1/4/1999,Golden Child,South Korea,0,0,,M,
Jibeom,Kim Jibeom,김지범,지범,2/3/1999,Golden Child,South Korea,0,0,,M,
Donghyun,Kim Donghyun,김동현,동현,2/23/1999,Golden Child,South Korea,0,0,,M,
Joochan,Hong Joochan,홍주찬,주찬,7/31/1999,Golden Child,South Korea,0,0,,M,
Bomin,Choi Bomin,최보민,보민,8/24/2000,Golden Child,South Korea,0,0,,M,
Jinhoo,Kim Jinwook,김진욱,진후,8/2/1995,UP10TION,South Korea,0,0,Changwon,M,
Kuhn,Noh Sooil,노수일,쿤,11/11/1995,UP10TION,South Korea,0,0,Ansan,M,
Kongyeol,Go Minsoo,고민수,고결,5/19/1996,UP10TION,South Korea,0,0,Bucheon,M,
Wei,Lee Sungjun,이성준,웨이,7/8/1996,UP10TION,South Korea,0,0,Seoul,M,
Bitto,Lee Changhyun,이창현,비토,8/24/1996,UP10TION,South Korea,0,0,Dongducheon,M,
Wooshin,Kim Wooseok,김우석,우신,10/27/1996,UP10TION,South Korea,0,0,Daejeon,M,
Sunyoul,Seon Yein,선예인,선율,11/6/1996,UP10TION,South Korea,0,0,Wando,M,
Gyujin,Han Gyujin,한규진,규진,11/21/1997,UP10TION,South Korea,0,0,Icheon,M,
Hwanhee,Lee Hwanhee,이환희,환희,5/6/1998,UP10TION,South Korea,0,0,Daejeon,M,
Xiao,Lee Dongyeol,이동열,샤오,12/13/1998,UP10TION,South Korea,0,0,Busan,M,
Heejin,Song Heejin,송희진,희진,8/19/1995,Good Day,South Korea,0,0,Seoul,F,
Green,Kim Jiwon,김지원,지니,7/1/1997,RedSquare,South Korea,0,0,Daegu,F,
Chaea,Kim Chaeyoung,김채영,체리,7/5/1997,RedSquare,South Korea,0,0,Gunsan,F,
Chaesol,Maeng Chaesol,맹채솔,채솔,7/14/1998,Cignature,South Korea,0,0,Yeosu,F,
Ari,Hwang Nayoon,황나윤,아리,3/30/1999,RedSquare,South Korea,0,0,Seoul,F,
Jeewon,Kim Jiwon,김지원,지원,4/1/1999,Cignature,South Korea,0,0,Busan,F,
Yeah,Kim Haeun,김하은,예아,10/9/1999,,South Korea,0,0,Gongju,F,
Sunn,Hwang Jiwon,황지원,선,2/7/2000,,South Korea,0,0,Jincheon,F,
Bomin,Kim Bomin,김보민,보민,9/24/2001,RedSquare,South Korea,0,0,Gwangju,F,
Belle,Jin Hyeonjoo,진현주,벨,11/3/2001,Cignature,South Korea,0,0,Goyang,F,
Jiyoung,Ahn Jiyoung,안지영,지영,9/14/1995,Bolbbalgan4,South Korea,0,0,Yeongju,F,
Jiyoon,Woo Jiyoon,우지윤,지윤,1/6/1996,Bolbbalgan4,South Korea,0,0,Yeongju,F,
Kid,Kim Junhoe,김준회,키드,10/26/1995,VARSITY,South Korea,177,58,,M,
Bullet,Jin Junwoo,진준우,블릿,12/2/1995,VARSITY,South Korea,182,65,Seoul,M,
Damon,Hu Boohan,후보한,데이먼,7/2/1996,VARSITY,China,181,0,,M,
Xiweol,Kang Minseok,강민석,시월,10/21/1996,VARSITY,South Korea,174,0,,M,
Xin,Wang Xinwi,왕씬위,씬,11/10/1996,VARSITY,China,185,0,,M,
Jaebin,Deung Bin,등빈,재빈,2/13/1997,VARSITY,China,168,0,Hunan,M,
Dann,Jung Seungbo,정승보,단,11/1/1997,Kingdom,South Korea,178,0,Ilsan,M,
Riho,Jin Seungwook,진승욱,리호,3/1/1998,VARSITY,South Korea,178,59,Incheon,M,
Anthony,Anthony Lo,엔써니 루오,엔써니,3/12/1998,VARSITY,China,179,0,,M,
Arthur,Jang Yunho,장윤호,아서,4/15/2000,Kingdom,South Korea,176,57,,M,
Dawon,Cho Dawon,조다원,다원,5/12/2000,VARSITY,South Korea,183,69,,M,
Manny,Syo Dongchun,쇼동청,만니,11/17/2001,VARSITY,China,170,64,,M,
Kangmin,Kim Kangmin,김강민,강민,11/13/2001,TRCNG,South Korea,169,0,,M,
Hohyeon,Lee Hohyeon,이호현,호현,10/14/2001,TRCNG,South Korea,177,0,,M,
Siwoo,Yoo Siwoo,유시우,시우,5/11/2001,TRCNG,South Korea,178,0,,M,
Hyunwoo,Kim Hyunwoo,김현우,현우,1/21/2001,TRCNG,South Korea,173,0,,M,
Jisung,Kim Jisung,김지성,지성,12/21/2000,TRCNG,South Korea,171,0,,M,
Wooyeop,Jo Wooyeop,조우엽,우엽,9/27/2000,TRCNG,South Korea,179,0,,M,
Hakmin,Lee Hakmin,이학민,학민,9/20/2000,TRCNG,South Korea,171,0,,M,
Taeseon,Yang Taeseon,양태선,태선,9/17/2000,TRCNG,South Korea,182,0,,M,
Hayoung,Choi Hayoung,최하영,하영,8/22/2000,TRCNG,South Korea,181,0,,M,
Jihun,Kim Jihun,김지훈,지훈,1/9/2000,TRCNG,South Korea,176,0,Daegu,M,
Hojoon,Jeon Hojoon,전호준,호준,10/31/1992,Topp Dogg,South Korea,0,0,Gwangju,M,
Sangdo,Yoo Sangdo,유상도,상도,3/2/1993,Topp Dogg,South Korea,0,0,Incheon,M,
B-Joo,Kim Byungjoo,김병주,비주,1/8/1994,Topp Dogg,South Korea,0,0,Seoul,M,
Xero,Shin Jiho,신지호,제로,2/3/1994,Topp Dogg,South Korea,0,0,Gwangji,M,
Kim Sanggyun,Kim Sanggyun,김상균,김상균,5/23/1995,JBJ95,South Korea,0,0,Gwangju,M,
Yano,Seo Sangwon,서상원,야노,9/27/1995,Topp Dogg,South Korea,0,0,Seoul,M,
Kidoh,Jin Hyosang,진효상,키도,12/16/1992,,South Korea,0,0,Seoul,M,
Seogoong,Park Hyunho,박현호,서궁,5/1/1992,,South Korea,0,0,Seongnam,M,
Gohn,Kim Dongsung,김동성,곤,8/1/1992,,South Korea,0,0,Seoul,M,
Jenissi,Kim Taeyang,김태양,제니씨,8/2/1991,,South Korea,0,0,Seoul,M,
P-Goon,Park Sehyuk,박세혁,피군,10/18/1991,,South Korea,0,0,Seoul,M,
Nakta,Shin Yooncheol,신윤철,낙타,4/24/1993,,South Korea,0,0,Daegu,M,
Hansol,Kim Hansol,김한솔,한솔,6/15/1993,,South Korea,0,0,Busan,M,
Kenta,Takada Kenta,타카다 켄타,켄타,1/10/1995,JBJ,Japan,0,0,Fujioka,M,
Longguo,Jin Longguo,진룽궈,룽궈,3/2/1996,JBJ,China,0,0,Heilong,M,
Hyunbin,Kwon Hyunbin,권현빈,현빈,3/4/1997,JBJ,South Korea,0,0,Seoul,M,
Donghan,Kim Donghan,김동한,동한,7/3/1998,WEi,South Korea,0,0,Daegu,M,
Seonglee,Kim Seonglee,김성리,성리,4/6/1994,,South Korea,173,0,,M,seong_leeee
Wontak,Ju Wontak,주원탁,원탁,2/24/1996,,South Korea,178,0,,M,/j_wontagii/
Kiwon,Lee Kiwon,이기원,기원,6/27/1996,GIDONGDAE,South Korea,170,0,,M,kiwon_1810
Daehyeon,Jang Daehyeon,장대현,대현,2/11/1997,WEi,South Korea,175,0,,M,daehyeon0211
Eunki,Hong Eunki,홍은기,은기,9/29/1997,,South Korea,182,0,,M,eun_doitz
Hyunmin,Byun Hyunmin,변현민,현민,4/17/1999,,South Korea,170,0,,M,bhm__99
Sunghyuk,Seo Sunghyuk,서성혁,성혁,8/26/1999,,South Korea,170,0,,M,sunghyuk_seo
Dayeon,Hwang Da Kyeon,황연경,다연,11/17/1995,XUM,South Korea,0,0,,F,sunghyuk_seo
Hajeong,Lee Hajeong,이하정,하정,9/23/1997,,South Korea,0,0,,F,sunghyuk_seo
Baekah,Kim Sua,김수아,백아,10/24/1999,XUM,South Korea,0,0,,F,sunghyuk_seo
Arang,Son Mnjung,손민정,아랑,3/8/2000,,South Korea,0,0,,F,sunghyuk_seo
Iaan,Yoo Dongju,유동주,이안,3/22/2002,XUM,South Korea,0,0,,F,sunghyuk_seo
Eunjin,Ma Eunjin,마은진,은진,5/23/1997,Playback,South Korea,165,49,Wonju,F,sunghyuk_seo
Yves,Ha Sooyoung,하수영,이브,5/24/1997,LOONA,South Korea,0,0,,F,
Haeyeon,Lee Taeyeon,이태연,해연,1/11/1994,Gate9,South Korea,161,0,,F,ha2y2on_gnine
Yeori,Kim Soyeon,김소연,여리,5/30/1994,Gate9,South Korea,164,0,Seoul,F,yeori_g9
Haru,Han Sangsook,한상숙,하루,7/6/1994,Gate9,South Korea,160,0,Bucheon,F,hanharuuu
Kady,Gu Dokyoung,구도경,케이디,4/7/1995,Gate9,South Korea,168,0,Busan,F,kady_g9
Gaga,Lee Soobin,이수빈,가가,11/10/1994,Gate9,South Korea,164,0,,F,gagag9
Juju,Park Juyoung,박주영,쥬쥬,1/3/1996,Gate9,South Korea,168,0,Changwon,F,baby.juju_0
Taera,Lee Yujin,이유진,태라,4/12/1994,Gate9,South Korea,161,0,Incheon,F,taera9nine
Yoon,Ji Hayoon,지하윤,윤,7/8/1997,Gate9,South Korea,162,0,Busan,F,queenyunista
Vivian,Park Sunghee,박성희,비비안,12/8/1998,Gate9,South Korea,0,0,,F,vivian__g9
Youngmin,Lim Youngmin,임영민,영민,12/25/1995,,South Korea,0,0,Busan,M,
Donghyun,Kim Donghyun,김동현,동현,9/17/1998,AB6IX,South Korea,0,0,Daejeon,M,
Chuu,Kim Jiwoo,김지우,츄,10/20/1999,LOONA,South Korea,0,0,Cheongju,F,
Gowon,Park Chaewon,박채원,고원,11/19/2000,LOONA,South Korea,0,0,,F,
Saerom,Lee Saerom,이새롬,새롬,1/7/1997,fromis_9,South Korea,0,0,Gangwon,F,
Hayoung,Song Hayoung,송하영,하영,9/29/1997,fromis_9,South Korea,0,0,Gwangju,F,
