Stage.Name;Group;ig_name;Followers;Gender.x;Full.Name;Korean.Name;K.Stage.Name;Date.of.Birth;Debut;Company;Country;Height;Weight;Gender.y;age;year.career
Wonyoung;IVE;for_everyoung10;7948915;Girl;Jang Wonyoung;장원영;원영;31.08.2004;01.12.2021;Starship;South Korea;NA;NA;F;18;1
Woohee;DAL SHABET;woohee91;228438;Girl;Bae Woohee;배우희;우희;21.11.1991;03.01.2011;Happy Face;South Korea;NA;NA;F;31;12
Woohyun;INFINITE;nwh91;1404946;Boy;Nam Woohyun;남우현;우현;08.02.1991;09.06.2010;Woollim;South Korea;176;52;M;32;13
Woozi;SEVENTEEN;woozi_universefactory;5022474;Boy;Lee Jihoon;이지훈;우지;22.11.1996;26.05.2015;Pledis;South Korea;165;54;M;26;8
Wow;A.C.E;sehy._.n;51448;Boy;Kim Seyoon;김세윤;와우;28.02.1993;23.05.2017;Beat;South Korea;NA;NA;M;30;6
Xiumin;EXO;e_xiu_o;8402552;Boy;Kim Minseok;김민석;시우민;26.03.1990;08.04.2012;SM;South Korea;173;65;M;33;11
Yebin;DIA;yebin_o3o;160219;Girl;Baek Yebin;백예빈;예빈;13.07.1997;14.07.2015;MBK;South Korea;164;43;F;26;8
Yechan;OMEGA X;shin___yechan;146061;Boy;Shin Yechan;신예찬;예찬;14.05.2001;17.10.2016;JT Corea;South Korea;183;64;M;22;6
Yechan;PINK FANTASY;yechan_official_md;17304;Girl;Kim Yechan;김예찬;예찬;26.11.1995;28.10.2018;My Doll;South Korea;159;45;F;27;4
Yein;LOVELYZ;happpy_yein;228766;Girl;Jeong Yein;정예인;예인;04.06.1998;17.11.2014;Woollim;South Korea;166;NA;F;25;8
Yena;IZ*ONE;yena.jigumina;2213433;Girl;Choi Yena;최예나;예나;29.09.1999;29.10.2018;Off The Record;South Korea;NA;NA;F;23;4
Yeo One;PENTAGON;9oo_sebumps;292299;Boy;Yeon Changgu;여창구;여원;27.03.1996;10.10.2016;Cube;South Korea;NA;NA;M;27;6
Yeojin;LOONA;yeojin._.o_x;198621;Girl;Im Yeojin;임여진;여진;11.11.2002;20.08.2018;Blockberry;South Korea;NA;NA;F;20;4
Yeonjun;TXT;yawnzzn;14028074;Boy;Choi Yeonjun;최연준;연준;13.09.1999;04.03.2019;Big Hit;South Korea;183;63;M;23;4
Yeonjung;WJSN;uyj_s;614951;Girl;Yu Yeonjung;유연정;연정;03.08.1999;25.02.2016;Starship;South Korea;167;52;F;23;7
Yeoreum;HELLO VENUS;hv_maknae;56818;Girl;Ahn Chaeyeon;안채연;여름;04.06.1996;09.05.2012;Fantagio;South Korea;167;48;F;27;11
Yeoreum;WJSN;s_ummer_e;340828;Girl;Lee Jinsook;이진숙;여름;10.01.1999;25.02.2016;Starship;South Korea;161;NA;F;24;7
Yeri;RED VELVET;yerimiese;10757106;Girl;Kim Yerim;김예림;예리;05.03.1999;01.08.2014;SM;South Korea;158;NA;F;24;8
Yerin;GFRIEND;every__nn;1486458;Girl;Jung Yerin;정예린;예린;19.08.1996;15.01.2015;Source;South Korea;167;NA;F;26;8
Yeseul;HI-L;seul._.ah3;1036;Girl;Kim Yeseul;김예슬;예슬;24.03.2004;11.08.2021;Kpop Live;South Korea;NA;NA;F;19;1
Yesung;SUPER JUNIOR;yesung1106;6506604;Boy;Kim Jongwoon;김종운;예성;24.08.1984;06.11.2005;SM;South Korea;178;64;M;38;17
Yiyeon;BVNDIT;jungyiyeon___;8439;Girl;Jung Dasol;정다솔;이연;28.05.1995;10.04.2019;MNH;South Korea;NA;NA;F;28;4
Yooa;OH MY GIRL;yoo__sha;98473;Girl;Yoo Siah;유시아;유아;17.09.1995;21.04.2015;WM;South Korea;160;50;F;27;8
Yoohyeon;DREAMCATCHER;ms.yoohyeonkim;34988;Girl;Kim Yoohyeon;김유현;유현;07.01.1997;13.01.2017;Happy Face;South Korea;171;NA;F;26;6
Yoojung;WEKI MEKI;dbeoddl__;921525;Girl;Choi Yoojung;최유정;유정;12.11.1999;08.08.2017;Fantagio;South Korea;NA;NA;F;23;5
Yoonjo;UNI.T;_yoonjo;130237;Girl;Shin Yoonjo;신윤조;윤조;14.12.1992;18.05.2018;Unit Culture;South Korea;NA;NA;F;30;5
Yooyoung;HELLO VENUS;hv_u0;105187;Girl;Lee Yooyoung;이유영;유영;23.01.1995;09.05.2012;Fantagio;South Korea;170;49;F;28;11
Yoseob;HIGHLIGHT;yysbeast;1226311;Boy;Yang Yoseob;양요섭;요섭;05.01.1990;14.10.2009;Around Us;South Korea;171;56;M;33;13
Young K;DAY6;from_youngk;1232061;Boy;Kang Young-hyun;강영현;영케이;19.12.1993;07.09.2015;JYP;South Korea;NA;NA;M;29;7
Youngjae;B.A.P;yjayo;288984;Boy;Yoo Youngjae;유영재;영재;24.01.1994;27.01.2012;TS;South Korea;178;65;M;29;11
Youngjae;GOT7;333cyj333;6692941;Boy;Choi Youngjae;최영재;영재;17.09.1996;16.01.2014;JYP;South Korea;175;59;M;26;9
Youngmin;BOYFRIEND;boyym_95;131375;Boy;Jo Youngmin;조영민;영민;24.04.1995;26.05.2011;Starship;South Korea;180;NA;M;28;12
Yugyeom;GOT7;yu_gyeom;12132886;Boy;Kim Yugyeom;김유겸;유겸;17.11.1997;16.01.2014;JYP;South Korea;180;64;M;25;9
Yujeong;BRAVE GIRLS;braveg_yj;612734;Girl;Nam Yujeong;남유정;유정;02.05.1991;08.04.2011;Brave;South Korea;NA;NA;F;32;12
Yuji;3YE;sson_uj;15812;Girl;Son Yuji;손유지;유지;25.11.1998;21.05.2019;GH;South Korea;160;45;F;24;4
Yujin;IVE;_yujin_an;4836626;Girl;Ahn Yujin;안유진;유진;01.09.2003;01.12.2021;Starship;South Korea;NA;NA;F;19;1
Yuju;CHERRY BULLET;uzoo_c;44341;Girl;Choi Yuju;최유주;유주;05.03.1997;21.01.2019;FNC;South Korea;NA;NA;F;26;4
Yuju;GFRIEND;yuuzth;1367944;Girl;Choi Yuna;최유나;유주;04.10.1997;15.01.2015;Source;South Korea;169;NA;F;25;8
Yuna;AOA;yn_s_1230;439441;Girl;Seo Yuna;서유나;유나;30.12.1992;30.07.2012;FNC;South Korea;163;45;F;30;10
Yuna;BRAVE GIRLS;u.nalee;322465;Girl;Lee Yuna;이유나;유나;06.04.1993;08.04.2011;Brave;South Korea;NA;NA;F;30;12
Yunjin;LE SSERAFIM;jenaissante;5427193;Girl;Huh Yunjin;허윤진;윤진;08.10.2001;02.05.2022;Source;South Korea;171;53;F;21;1
Yuqi;(G)I-DLE;yuqisong.923;5838243;Girl;Song Yuqi;송우기;우기;23.09.1999;02.05.2018;Cube;China;162;48;F;23;5
Yura;GIRL'S DAY;yura_936;1850297;Girl;Kim Ahyoung;김아영;유라;06.11.1992;09.07.2010;DreamT;South Korea;168;49;F;30;13
Yuri;IZ*ONE;zo__glasss;1502071;Girl;Jo Yuri;조유리;유리;22.10.2001;29.10.2018;Off The Record;South Korea;NA;NA;F;21;4
Yurim;3YE;_ddorim;16127;Girl;Park Yurim;박유림;유림;13.04.1998;21.05.2019;GH;South Korea;164;NA;F;25;4
Yuta;NCT;yuu_taa_1026;9329651;Boy;Nakamoto Yuta;나카모토 유타;유타;26.10.1995;09.04.2016;SM;Japan;NA;NA;M;27;7
Yuto;PENTAGON;yuto_dachi;392397;Boy;Adachi Yuto;아다치 유토;유토;23.01.1998;10.10.2016;Cube;Japan;NA;NA;M;25;6
Yves;LOONA;yvesntual;239878;Girl;Ha Sooyoung;하수영;이브;24.05.1997;20.08.2018;Blockberry;South Korea;NA;NA;F;26;4
Zelo;B.A.P;byzelo;777028;Boy;Choi Junhong;최준홍;젤로;15.10.1996;27.01.2012;TS;South Korea;182;63;M;26;11
Zico;BLOCK B;woozico0914;4814973;Boy;Woo Jiho;우지호;지코;14.09.1992;15.04.2011;KQ;South Korea;182;65;M;30;12
Ziu;VAV;ziu.vav;247204;Boy;Park Heejun;박희준;지우;16.06.1997;31.10.2015;A team;South Korea;185;70;M;26;7
ZN;LABOUM;baejinyea;81988;Girl;Bae Jinye;배진예;지엔;09.06.1994;27.08.2014;NH;South Korea;169;48;F;29;8
Zuho;SF9;zuuuuu_oh;398744;Boy;Bae Juho;백주호;주호;04.07.1996;05.10.2016;FNC;South Korea;NA;NA;M;27;6
Zuny;LADIES' CODE;zuny_l___l;64731;Girl;Kim Joomi;김주미;주니;08.12.1994;07.03.2013;Polaris;South Korea;NA;NA;F;28;10
